level,clade_removed,fit,model,n,R2,int,int.se,int.lo,int.hi,slo,slo.se,slo.lo,slo.hi,p_b1
order,Myrtales,Male ~ Flower,SMA,282,0.8429311789865414,-0.6702998389962023,NA,-0.79327708576493,-0.5473225922274746,1.0925267068020403,NA,1.0427771509659867,1.1446497499201962,2.2216562552457297e-4
order,Myrtales,Female ~ Flower,SMA,282,0.8516447985677915,-0.813398175244306,NA,-0.9234597732416704,-0.7033365772469417,1.0061742775941342,NA,0.9616160594524227,1.0527971813080637,0.7893496118848852
order,Myrtales,Petals ~ Flower,SMA,282,0.941990553750804,-0.15745800143195066,NA,-0.23271411969600359,-0.08220188316789773,1.1011328087443986,NA,1.0703757982752997,1.1327736150677388,1.1182899051220829e-10
order,Myrtales,Sepals ~ Flower,SMA,282,0.8540961070097722,-0.6244952768786538,NA,-0.7354420238268853,-0.5135485299304223,1.0227750396331496,NA,0.9778487908204185,1.0697653783658467,0.3246893442509573
order,Ericales,Male ~ Flower,SMA,283,0.8395185825823698,-0.6398751180883244,NA,-0.7635864059700664,-0.5161638302065824,1.1020326772531004,NA,1.0514099994579982,1.1550927063274063,6.069029171451579e-5
order,Ericales,Female ~ Flower,SMA,283,0.8306694565896005,-0.7263976641323566,NA,-0.845839830808982,-0.6069554974557313,1.0357352274341893,NA,0.9868958055543827,1.086991610776522,0.15364991505292147
order,Ericales,Petals ~ Flower,SMA,283,0.8980388032467371,-0.1966283401416491,NA,-0.29521982629676946,-0.09803685398652873,1.1024693247034762,NA,1.0619056873957542,1.1445824486474998,5.426276350473103e-7
order,Ericales,Sepals ~ Flower,SMA,283,0.8595251579199727,-0.5995281018985552,NA,-0.7077515314471046,-0.4913046723500059,1.0306371993709444,NA,0.9862747472280287,1.0769950662455705,0.17813655743584444
order,Malpighiales,Male ~ Flower,SMA,291,0.8377926849265318,-0.6424873522953836,NA,-0.7651343715345934,-0.5198403330561737,1.0996768432424948,NA,1.0495947614707568,1.152148623407045,7.531843354147139e-5
order,Malpighiales,Female ~ Flower,SMA,291,0.8342626429626142,-0.7178872250599326,NA,-0.8346327635177242,-0.6011416866021411,1.0355198314664005,NA,0.9878615177081483,1.085477369184251,0.1459827781768177
order,Malpighiales,Petals ~ Flower,SMA,291,0.8963957529803789,-0.21031055466094317,NA,-0.3077735510227049,-0.11284755829918142,1.094042655473491,NA,1.0540316823189,1.1355724425305782,3.1583665899281854e-6
order,Malpighiales,Sepals ~ Flower,SMA,291,0.8536204850231858,-0.6048793555114313,NA,-0.7142331434722383,-0.49552556755062444,1.0322938792333578,NA,0.9875799084558123,1.0790323334634082,0.1588847706139418
